,,Q1,
,,Inp,Comparison
,,100,198
,,1000,1998
,,10000,19998
,,100000,199998
,,1000000,1999998
,,,
,,Q2,
,,Inp,Comparison
,,100,127
,,1000,1023
,,10000,11807
,,100000,131071
,,1000000,1048575
